Strain,Type,Rating,Effects,Flavor,Description,labels
ArabianGold,sativa,4,EuphoricTinglyGigglySleepyCreative,Unknown,Arabian Gold is a heavy sativa strain of mysterious origins It may leave most consumers feeling mentally checked out so you could feel foggyheaded and for example lose your train of thought when conversing with friends,0
Argyle,indica,3,HappyUpliftedRelaxedSleepyFocused,SpicyHerbalPungentEarthy,Argyle is a variety of Nordle grown by Canadian LP Tweed Inc The indicadominant hybrid crosses Afghani and Sensi Star genetics The resulting buds smell of garlic and herbs like fresh cut chives but with a fruity aftertaste With a 11 ratio of THC to CBD Argyle creates a mellow calming buzz that is a great answer to body pains and muscle spasms,1
ArjansStrawberryHaze,sativa,4,HappyUpliftedTalkativeRelaxedCreative,StrawberrySweetBerry,Arjans Strawberry Haze was created by Arjan and introduced on the market in 2006 In 2005 Strawberry Haze won 1st prize at the Green House Very Important Smokers PanelThe buds of Strawberry Haze smell of strawberries and provide a sweet taste which is heightened when roots are given free reign in soil It is characterized as a tall plant with long branches It is a simple plant to grow and maintain as it is known to be adaptable to humidity Flowering time is approximately 10 weeks with a THC level up to 20 and CBD of 12,0
ArjansUltraHaze1,sativa,4,EuphoricFocusedEnergeticRelaxedCreative,MintyEarthyMint,Arjans Ultra Haze 1 is a Dutch sativa bred by Green House Seeds who combined Nevilles Haze with landrace strains from Cambodia and Laos With mellow effects that stay cerebrally centered this strain is perfect for those seeking introspective meditative moments or a light active buzz Four Cannabis Cup placements have won Arjans Ultra Haze 1 a sterling reputation but growers will have to wait with agonizing patience for its buds to finish their 13 weeks of flowering,0
AsianFantasy,sativa,4,EuphoricHungryHappyRelaxedTalkative,EarthySkunkWoody,After repeated rumors that this strain suffered extinction thanks to a secretive breeder enough sightings occur regularly to ensure that while rare the Asian Fantasy strain does still exist Its genetics however remain a mystery Whats clear is that this strain has a healthy dose of sativa in it that will get ideas and creativity flowing Its also a beauty with large curled buds that have a covering of brick red hairs The flowers emit a sweet and sour fragrance while the taste has a healthy dose of spice,0
Astroboy,sativa,4,RelaxedEnergeticHappyCreativeFocused,SweetCitrusGrapefruit,Astroboy is an energetic sativadominant hybrid cannabis strain that combines Apollo 13 genetics with a cross of Ortega and Cinderella 99 bred by TGA Subcool Seeds A mix of sweet and sour fruit flavors like citrus and cherry lead the way towards a heady buzz that is fastacting and uplifting The cerebral energy sparked by Astroboy is a great choice to keep you happy and active throughout a busy day The watermelon phenotype of Astroboy is known to be an exceptional expression of the strain and is often desired as an influence for other breeding projects,0
Athabasca,indica,4,TalkativeUpliftedHappyRelaxedGiggly,EarthyAmmoniaDiesel,Athabasca is a variety of the strain Pennywise grown by Canadian LP Aphria Genetics from Harlequin and Jack the Ripper come together to create a sweet woody aroma that is highlighted by sharp peppery undertones With a 11 ratio of CBD to THC the psychoactive effects are mild yet relaxing making Athabasca an effective treatment for arthritis PTSD and epilepsy,1
AtomicalHaze,sativa,4,HappyRelaxedEnergeticUpliftedCreative,PungentMintyCitrus,Atomical Haze is an 8020 sativadominant strain bred by Paradise Seeds A cross between Haze an Indian sativa and Sweet Afghan you will first notice the smell and taste of kiwi and finish off with that classic spicy Haze flavor A longlasting buzz will having you feeling motivated and ready for what the day brings These resincaked buds will be ready for harvest in about 9 weeks and are ideal for indoor gardens,0
AuroraBorealis,indica,4,HappyEuphoricRelaxedSleepyHungry,EarthyWoodySweet,Also known as AB Aurora B or simply Aurora Aurora Borealisis a Flying Dutchmen strain resulting from a cross between a carefully selected Northern Lights 10 and a sweet Skunk 1 father Avigorous plant with heavy resinous buds this strain has the best attributes from both its parents Aurora Borealisgrows into a medium size plant similar to Skunk1 and has a sweet and fruity taste with a hashysharpness Very high yields and a fast maturation time make this cross an ideal cashcropper both indoors and out The subtle calming effects have helped this strain gain popularity in the Netherlands and Canada with its sweet skunky flavors and earthy undertones,1
AuroraIndica,indica,4,RelaxedSleepyHappyEuphoricUplifted,EarthySpicyHerbalTropical,Aurora Indica bred by Nirvana Seeds is a 90 indica cross between Afghan and Northern Lights Fulfilling our expectations of an indica this strain induces heavy fullbody effects and a sedating cerebral calm Aurora Indica is a potent strain for evening treatment of insomnia pain and other conditions requiring a restful nights sleep The short plants produce dense bulky buds dusted in a thick layer of crystal resin Different phenotypes emerge under different growing conditions giving way to variable bud structures and aromas ranging from fruity to floral Nirvana Seeds recommends a 9 to 11week flowering time for indoor gardens or a midSeptember harvest for outdoor growers,1
AyahuascaPurple,indica,4,RelaxedEuphoricSleepyHappyTingly,SpicyHerbalPungentEarthy,Ayahuasca Purple by Barneys Farm is a deeply relaxing indicadominant cross of Master Kush and Red River Delta The primary aromas are unique expressing hints of hazelnut and papaya This indicadominant strain develops deep purple foliage and is sensitive to overfeeding Enjoy Ayahuasca Purple at the end of the day to maximize its relaxing fullbody effects ,1
B52,indica,4,RelaxedHappyGigglyFocusedUplifted,SweetWoodyEarthy,B52 is a 7525 indicadominant cross betweenSkunk and Big Bud This hybrid by Nirvana Seeds is a sweet mix of skunky flavors that have remarkable cerebral effects for a strain that leans towards the indica end of the spectrum It is a great strain for commercial production but its unique heady effects are enjoyed by connoisseurs and those with an affinity towards the Skunkfamily tree A great strain for the relaxing while watching a movie B52 will leave you giggling and flying high,1
BbKing,indica,3,SleepyHappyRelaxedUpliftedCreative,LemonEarthyCitrus,BB King named in honor of the Blues musician and songwriter is an indicadominant strain bred by MTG Seeds that crosses Blackberry Kush and Space Monster A sweet and earthy flavor ushers in BB Kings sedating effects which lull both body and mind into deep relaxation If sleep doesnt hit you first be prepared to address a ravenous appetite This indica typically blooms with dark purpletipped flowers highlighting its contrasting blanket of white crystal resin,1
BcSweetTooth,indica,4,UpliftedHappyRelaxedSleepyEuphoric,SweetHoneyTreeFruit,Developed in British Columbia by BC Bud Depot BC Sweet tooth is an indicadominant hybrid known for its quick flowering time and candy taste A hardy plant this strain can be grown outdoors where it can flower in under 7 weeks but it prefers the indoors where it may flower as soon as 6 weeks The result of a cross with earlier generations of BC Sweet Tooth and classic Sweet Tooth these sugary flowers are sure to satisfy your craving The crystalline buds have a strong sweet smell with a hint of citrus and users report that this treat satisfies with a longlasting potent feeling that hits fast,1
Bakerstreet,indica,3,EuphoricRelaxedGigglyHappySleepy,EarthyDieselSweet,Bakerstreet is a variety of Hindu Kush grown by Canadian LP Tweed It is a pure indica with origins in the Hindu Kush mountain range The subtle sweet and earthy sandalwood aroma of Bakerstreet induces a deep sense of calm that helps bring relief to those suffering pain nausea and stress disorders Its heavy body effects make it a top strain to help you relax and unwind at the end of a long day,1
BananaCandy,indica,4,RelaxedEuphoricUpliftedCreativeHappy,TreeFruitEarthySweet,Unknown,1
BangiHaze,sativa,0,ArousedUpliftedEuphoricHungry,BerryTreeFruitCheese,Bangi Haze by Ace Seeds is an energetic sativa with old world genetics An F8 stabilized cross of Congolese and Nepalese these resilient landrace genetics give the strain strong resistance to both mold and cold climates which make it a suitable choice for outdoor growers This stimulating flower emits an intoxicating floral aroma with pronounced notes of lemon and anise Utilize Bangi Haze to stimulate the body and promote activity,0
BarbaraBud,indica,3,RelaxedEuphoricHappyHungryUplifted,CitrusEarthyMango,Barbara Bud is powerful indica cross between Shishkaberry and Afghanithat eliminates symptoms without too much mental cloudiness It has a fruity citrus aroma with sweet undertones of bubblegum and many patients have found Barbara Bud to help with pain stress and muscle spasms,1
BatmanOg,indica,4,SleepyHungryHappyRelaxedGiggly,SkunkPungentSweet,Batman OG named for the Caped Crusader of the DC Universe is a potent indica that hits the body like POW This knockout strain binds the consumer to the couch and offers relaxing physical effects that are calming and sedative Batman OG has deep earthy notes intermixed with scents of skunk and pine It combats insomnia stress and chronic pain so well it will have you saying Holy indica Batman ,1
